$VISION
* File: C:\Users\gdt5762\Documents\MyFirstSim.inpx
* Comment: 
* Date: 5/2/2021 12:40:21 PM
* PTV Vissim: 2020.00 [13]
* 
* Table: Vehicles In Network
* 
* SIMSEC: SimSec, Simulation second (Simulation time [s]) [s]
* NO: No, Number (Unique vehicle number)
* COORDFRONTX: CoordFrontX, Coordinate front (x) (X-coordinate of vechicle’s front end)
* COORDFRONTY: CoordFrontY, Coordinate front (y) (Y-coordinate of vechicle’s front end)
* COORDFRONTZ: CoordFrontZ, Coordinate front (z) (Z-coordinate of vechicle’s front end) [m]
* SPEED: Speed, Speed (Speed at the end of the time step) [km/h]
* ORIENTATIONANGLE: OrientationAngle, Orientation angle
* 
* SimSec;No;CoordFrontX;CoordFrontY;CoordFrontZ;Speed;OrientationAngle
* Simulation second;Number;Coordinate front (x);Coordinate front (y);Coordinate front (z);Speed;Orientation angle
*
$VEHICLE:SIMSEC;NO;COORDFRONTX;COORDFRONTY;COORDFRONTZ;SPEED;ORIENTATIONANGLE
6.10;4;99.612;245.634;0.000;51.27;246.13
6.10;5;-80.478;123.022;0.000;54.91;0.25
6.10;6;209.742;135.200;0.000;53.15;181.07
6.20;1;-18.090;123.009;0.000;57.60;359.14
6.20;2;91.897;228.199;0.000;51.05;246.13
6.20;3;171.392;134.483;0.000;55.08;181.07
6.20;4;99.035;244.332;0.000;51.27;246.13
6.20;5;-78.952;123.029;0.000;54.97;0.25
6.20;6;208.265;135.172;0.000;53.15;181.07
6.30;1;-16.492;123.022;0.000;57.53;359.56
6.30;2;91.323;226.902;0.000;51.05;246.13
6.30;3;169.862;134.454;0.000;55.09;181.07
6.30;4;98.459;243.030;0.000;51.26;246.13
6.30;5;-77.424;123.035;0.000;55.04;0.25
6.30;6;206.789;135.145;0.000;53.15;181.07
6.40;1;-14.895;123.077;0.000;57.47;0.32
6.40;2;90.749;225.605;0.000;51.05;246.13
6.40;3;168.332;134.425;0.000;55.11;181.07
6.40;4;97.883;241.727;0.000;51.26;246.13
6.40;5;-75.894;123.042;0.000;55.10;0.25
6.40;6;205.313;135.117;0.000;53.15;181.07
6.40;7;224.746;135.480;0.000;53.45;181.07
6.50;1;-13.300;123.127;0.000;57.40;0.78
6.50;2;90.176;224.308;0.000;51.05;246.13
6.50;3;166.801;134.397;0.000;55.12;181.07
6.50;4;97.307;240.425;0.000;51.26;246.13
6.50;5;-74.363;123.049;0.000;55.16;0.25
6.50;6;203.837;135.089;0.000;53.15;181.07
6.50;7;223.262;135.453;0.000;53.45;181.07
6.60;1;-11.707;123.174;0.000;57.34;1.07
6.60;2;89.602;223.012;0.000;51.05;246.13
6.60;3;165.270;134.368;0.000;55.14;181.07
6.60;4;96.731;239.123;0.000;51.26;246.13
6.60;5;-72.830;123.055;0.000;55.22;0.25
6.60;6;202.360;135.062;0.000;53.15;181.07
6.60;7;221.777;135.425;0.000;53.45;181.07
6.60;8;-110.574;122.893;0.000;49.65;0.25
6.70;1;-10.116;123.220;0.000;57.27;1.25
6.70;2;89.028;221.715;0.000;51.05;246.13
6.70;3;163.738;134.339;0.000;55.15;181.07
6.70;4;96.155;237.821;0.000;51.26;246.13
6.70;5;-71.295;123.062;0.000;55.29;0.25
6.70;6;200.884;135.034;0.000;53.15;181.07
6.70;7;220.293;135.397;0.000;53.45;181.07
6.70;8;-109.195;122.899;0.000;49.65;0.25
6.80;1;-8.527;123.264;0.000;57.21;1.36
6.80;2;88.454;220.418;0.000;51.05;246.13
6.80;3;162.206;134.311;0.000;55.17;181.07
6.80;4;95.578;236.519;0.000;51.25;246.13
6.80;5;-69.758;123.068;0.000;55.35;0.25
6.80;6;199.408;135.007;0.000;53.15;181.07
6.80;7;218.808;135.369;0.000;53.45;181.07
6.80;8;-107.816;122.905;0.000;49.65;0.25
6.90;1;-6.939;123.308;0.000;57.14;1.43
6.90;2;87.880;219.121;0.000;51.05;246.13
6.90;3;160.674;134.282;0.000;55.18;181.07
6.90;4;95.002;235.217;0.000;51.25;246.13
6.90;5;-68.220;123.075;0.000;55.41;0.25
6.90;6;197.932;134.979;0.000;53.15;181.07
6.90;7;217.324;135.342;0.000;53.45;181.07
6.90;8;-106.436;122.911;0.000;49.69;0.25
7.00;1;-5.354;123.351;0.000;57.07;1.47
7.00;2;87.343;217.809;0.000;51.05;246.59
7.00;3;159.141;134.254;0.000;55.20;181.07
7.00;4;94.426;233.915;0.000;51.25;246.13
7.00;5;-66.680;123.082;0.000;55.47;0.25
7.00;6;196.455;134.951;0.000;53.15;181.07
7.00;7;215.840;135.314;0.000;53.45;181.07
7.00;8;-105.056;122.916;0.000;49.72;0.25
7.10;1;-3.770;123.394;0.000;57.01;1.50
7.10;2;86.809;216.495;0.000;51.05;246.97
7.10;3;157.608;134.225;0.000;55.21;181.07
7.10;4;93.850;232.614;0.000;51.24;246.13
7.10;5;-65.138;123.088;0.000;55.54;0.25
7.10;6;194.979;134.924;0.000;53.15;181.07
7.10;7;214.355;135.286;0.000;53.45;181.07
7.10;8;-103.674;122.922;0.000;49.76;0.25
7.20;1;-2.188;123.437;0.000;56.94;1.51
7.20;2;86.273;215.182;0.000;51.05;247.20
7.20;3;156.075;134.196;0.000;55.22;181.07
7.20;4;93.274;231.312;0.000;51.24;246.13
7.20;5;-63.594;123.095;0.000;55.60;0.25
7.20;6;193.503;134.896;0.000;53.15;181.07
7.20;7;212.871;135.258;0.000;53.45;181.07
7.20;8;-102.291;122.928;0.000;49.80;0.25
7.30;1;-0.607;123.480;0.000;56.88;1.52
7.30;2;85.736;213.870;0.000;51.05;247.36
7.30;3;154.541;134.167;0.000;55.24;181.07
7.30;4;92.699;230.010;0.000;51.24;246.13
7.30;5;-62.049;123.102;0.000;55.66;0.25
7.30;6;192.027;134.868;0.000;53.15;181.07
7.30;7;211.387;135.231;0.000;53.45;181.07
7.30;8;-100.907;122.934;0.000;49.84;0.25
7.40;1;0.971;123.522;0.000;56.81;1.53
7.40;2;85.198;212.558;0.000;51.05;247.46
7.40;3;153.006;134.139;0.000;55.25;181.07
7.40;4;92.123;228.709;0.000;51.24;246.13
7.40;5;-60.502;123.108;0.000;55.72;0.25
7.40;6;190.551;134.841;0.000;53.15;181.07
